_id;latitude;longitude;altitude;geometry;address;description;facilities;imageThumbnail;kategori;nama;Rating
1;-8,0164231;112,2097501;;Point;Penataran, Nglegok, Blitar, Jawa Timur 66181;Candi Penataran secara administratif terletak di Desa Penataran, Kec. Nglegok, Kab.Blitar. Candi ini terletak sekitar 12 km di utara Kota Blitar, berada di kaki Gunung Kelud. Merupakan komplek candi dengan tataruang persegi, memanjang dari barat ke timur yang dibagi menjadi tiga pelataran. Dahulu antar pelataran dipisahkan oleh dinding, namun saat ini dinding yang dimaksud telah runtuh. Komplek candi ini terdiri dari pintu masuk utama, pendopo agung, teras pendopo, Candi Angka Tahun, Candi Naga, Candi Induk, tubuh candi induk, dan Petirtaan Dalam. Candi Penataran merupakan salah satu contoh luar biasa dari ciri arsitektur Jawa Timur, di mana candinya berupa struktur berundak dengan tempat paling suci terletak pada sisi belakang candi.;candi;IMG_1504006362459.jpg;candi;Candi Penataran;4.5
2;-8,315604;112,1435613;;Point;Tambakrejo, Wonotirto, Blitar, Jawa Timur 66173;Pantai Tambakrejo terletak di Desa Tambakrejo, Kecamatan Wonotirto, Kabupaten Blitar, atau sekitar 30 km kearah selatan Kota Blitar. Pantai ini sangat unik karena memiliki garis pantai dengan pasir putih sekitar 10 km. Selain itu, pantai ini cenderung berbentuk teluk, sehingga ombak yang menerjang pantai Tambakrejo tidak begitu besar. Dengan kondisi yang demikian, pantai ini cukup aman untuk dijadikan lokasi bermain air, tetapi tetap memperhatikan keselamatan. Wisata ini merupakan salah satu pantai yang paling favorit di Blitar, sehingga banyak dikunjungi wisatawan lokal maupun asing.;pantai;IMG_1514037072496.png;pantai;Pantai Tambakrejo di Blitar;4.4
3;-8,3321342;112,3298253;;Point;Ringinsari, Ringenrejo, Wates, Blitar, Jawa Timur 66194;Pantai lain yang tidak kalah favorit di kabupaten Blitar adalah Pantai Jolosutro. Pantai ini memiliki pasir hitam yang halus, tetapi tetap menawarkan keindahan alam yang tidak ada duanya. Pantai eksotis ini juga cukup terkenal bagi kalangan peselancar karena memiliki ombak yang cukup besar, sehingga bagi kalian yang berniat untuk bermain air di pantai ini, diharap selalu waspada. Lokasi pantai ini terletak di Desa Ringenrejo, Kecamatan Wates, Kabupaten Blitar, atau berjarak 45 Km dari pusat Kota Blitar. Selain itu, lokasi pantai ini juga berbatasan dengan Kabupaten Malang, sehingga cocok untuk dijadikan tempat singgah melepas penat ketika sedang menempuh perjalanan ke Malang.;pantai;IMG_1514262263235.jpg;pantai;Pantai Jolosutro di Blitar;4.3
4;-8,3124219;112,110525;;Point;Tumpakkepuh, Bakung, Blitar, Jawa Timur 66163;Pantai Pangi merupakan salah satu tempat wisata pantai di Blitar yang cukup terkenal. Pantai ini tampak seperti teluk, dengan bebatuan karang yang menutupinya. Lokasinya yang cukup tersembunyi menyebabkan keasrian alam pantai ini tetap terjaga. Selain itu, pantai ini menawarkan suasana pedesaan yang akan membuat kalian betah berlama-lama di tempat wisata ini. Apabila kalian ingin &ldquomenyatu dengan alam&rdquo, kalian dapat camping di pantai ini bersama teman-teman terdekat. Lokasi pantai ini terletak di Desa Tumpak Kepuh, Kecamatan Bakung, Kabupaten Blitar.;pantai;IMG_1505784974356.jpg;pantai;Pantai Pangi di Blitar;4.3
5;-8,3237473;112,148797;;Point;Tambakrejo, Wonotirto, Blitar, Jawa Timur 66173;Apabila kalian berkunjung ke wisata Blitar Pantai Tambakrejo, sempatkan untuk mengunjungi pesanggrahan yang terletak di atas bukit pantai tersebut. Lokasi ini menawarkan keindahan pemandangan pantai yang indah, serta dipadukan dengan suasana senja yang romantis. Pesanggrahan ini merupakan sebuah penginapan yang memiliki beberapa fasilitas istimewa, mulai dari bedroom, hingga ruang rapat yang sangat cocok untuk dijadikan tempat meeting.;pantai;IMG_1505786176043.jpg;pantai;Wisata Pesanggrahan Tambakrejo di Blitar;5.0
6;-8,3315725;112,22294;;Point;Serang, Panggungrejo, Blitar, Jawa Timur 66174;Salah satu tempat wisata di Blitar yang wajib dikunjungi adalah Pantai Serang. Salah satu daya tarik dari pantai ini adalah pasir putih bersih dan halus, tentu saja sangat instagramable. Pantai ini berlokasi di Desa Serang, Kecamatan Panggungrejo, Kabupaten Blitar, atau 45 km ke arah barat daya Kota Blitar. Pantai ini juga cukup aman untuk dijadikan lokasi berenang karena memiliki ombak yang tidak terlalu besar.;pantai,resto,atv,penakaran penyu;IMG_1516157704873.jpg;pantai;Wisata Pantai Serang di Blitar;4.4
7;-8,3439332;112,2346652;;Point;Dusun Pehpulo, Sumbersih, Panggungrejo, Blitar, Jawa Timur 66174;Satu lagi lokasi pantai yang memiliki keindahan alam di bagian selatan Kabupaten Blitar adalah Pantai Peh Pulo. Lokasi pantai ini terletak di daerah Panggung Rejo atau dapat ditempuh menggunakan kendaraan pribadi selama kurang lebih Sembilan puluh menit. Wisata pantai Blitar ini cukup tersembunyi dan panorama alamnya masih cukup asri. Selain itu, pantai ini juga menjadi salah satu tempat wisata Blitar terbaru yang sangat direkomendasikan untuk kalian kunjungi.;pantai;IMG_1505786679494.jpg;pantai;Wisata Pantai Peh Pulo di Blitar;4.4
8;-8,320544;112,148355;;Point;Tambakrejo, Wonotirto, Blitar, Jawa Timur 66173;Mendengar namanya saja sudah cukup seram, bukan? Namun demikian, pesona wisata alam di Blitar ini memiliki keindahan alam yang sangat bagus. Pantai ini masih sepi, memiliki pasir putih yang panjang, dan cukup terjaga keasriannya. Objek wisata Blitar ini tergolong baru, sangat cocok untuk dijadikan sebagai lokasi camping. Untuk menuju lokasi wisata ini, sangat membutuhkan perjuangan karena kalian harus melewati bukit dan menyeberang sungai. Pantai ini sangat cocok bagi kalian yang memiliki jiwa petualang.;pantai;IMG_1505787073169.jpg;pantai;Wisata Pantai Gondo Mayit di Blitar;4.4
9;-8,3150254;112,0899445;;Point;Sidomulyo, Bakung, Blitar, Jawa Timur 66163;Tempat wisata di Blitar yang lagi hits adalah wisata Pantai Umbul Waru. Pantai ini terletak di Desa Sidomulyo, Kecamatan Bakung, Kabupaten Blitar. Pantai ini sangat unik karena memiliki air terjun yang mengalir dari atas bukit menuju ke Samudra Hindia. Akses menuju lokasi pantai ini cukup sulit karena kalian harus melalui jalanan terjal dan sempit. Apabila kalian akan menuju ke sana, kami rekomendasikan untuk menyiapkan perbekalan yang cukup;pantai;IMG_1505788165507.jpg;pantai;Wisata Pantai Umbul Waru di Blitar;4.2
10;-7,9487673;112,3174814;;Point;Slumbung, Gandusari, Blitar, Jawa Timur 66187;Tempat wisata di Blitar ini terletak di kawasan Gunung Kelud, tepatnya di Desa Wisata Ekologis, Semen Gandusari, Kecamatan Gandusari, Kabupaten Blitar. Untuk mencapai air terjun ini, kalian harus melalui jalan setapak sekitar dua jam!. Lokasi wisata Blitar ini cocok bagi kalian yang memiliki jiwa petualangan.;Air Terjun;IMG_1505788437928.jpg;Air Terjun;Tempat Wisata Alam Air Terjun Coban Wilis Blitar;4.2
